lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs,bsts_lev_pred
Long Lake,1905-01-01T06:00:00Z,24.479999542236328,0.1256695828082522,NA,334.13400864655716,NA,NA,NA,334.25278377666547
Plainfield Lake,1905-01-01T06:00:00Z,24.479999542236328,0.1256695828082522,NA,334.43556350409136,NA,NA,NA,334.3950746688094
Pleasant Lake,1905-01-01T06:00:00Z,25.3799991607666,0.11306172874682816,NA,298.59659585695084,NA,NA,NA,298.56202658032083
Long Lake,1905-02-01T06:00:00Z,28.25,-0.08594898153256589,NA,334.0185544345961,NA,NA,NA,334.2013351910671
Plainfield Lake,1905-02-01T06:00:00Z,28.25,-0.08594898153256589,NA,334.35410312458663,NA,NA,NA,334.2830693751094
Pleasant Lake,1905-02-01T06:00:00Z,30.469999313354492,-0.08057007488512255,NA,298.5528812352841,NA,NA,NA,298.5500238760113
Long Lake,1905-03-01T06:00:00Z,42.79999923706055,-0.22128740939440983,NA,333.94471690722463,NA,NA,NA,334.20563356289546
Plainfield Lake,1905-03-01T06:00:00Z,42.79999923706055,-0.22128740939440983,NA,334.3020059953506,NA,NA,NA,334.2319117691175
Pleasant Lake,1905-03-01T06:00:00Z,43.18000030517578,-0.20938966948103993,NA,298.52379872024574,NA,NA,NA,298.5855126747502
Long Lake,1905-04-01T06:00:00Z,31.280000686645508,-0.414213023291036,NA,333.83946113824754,NA,NA,NA,334.26223297106986
Plainfield Lake,1905-04-01T06:00:00Z,31.280000686645508,-0.414213023291036,NA,334.22774127394894,NA,NA,NA,334.1944159233487
Pleasant Lake,1905-04-01T06:00:00Z,32.22999954223633,-0.391554664115176,NA,298.4826728634805,NA,NA,NA,298.5382568348649
Long Lake,1905-05-01T06:00:00Z,151.58999633789062,0.024125373658332724,NA,334.0786084661282,NA,NA,NA,334.2625228273555
Plainfield Lake,1905-05-01T06:00:00Z,151.58999633789062,0.024125373658332724,NA,334.3964751101235,NA,NA,NA,334.3879037084229
Pleasant Lake,1905-05-01T06:00:00Z,156.39999389648437,0.05996154934876462,NA,298.58460787662284,NA,NA,NA,298.615906612835
Long Lake,1905-06-01T06:00:00Z,213.75999450683594,0.7784027726196647,NA,334.49012483270184,NA,NA,NA,334.48524865310316
Plainfield Lake,1905-06-01T06:00:00Z,213.75999450683594,0.7784027726196647,NA,334.6868264002507,NA,NA,NA,334.3651619503169
Pleasant Lake,1905-06-01T06:00:00Z,210.75,0.7787246202988551,NA,298.74687696220315,NA,NA,NA,298.62003684489474
Long Lake,1905-07-01T06:00:00Z,100.33999633789062,0.9363984339701109,NA,334.57632362452944,NA,NA,NA,334.43679625018046
Plainfield Lake,1905-07-01T06:00:00Z,100.33999633789062,0.9363984339701109,NA,334.7476451973813,NA,NA,NA,334.3462554445565
Pleasant Lake,1905-07-01T06:00:00Z,98.75,0.9246490133662957,NA,298.77982108354706,NA,NA,NA,298.5966229388232
Long Lake,1905-08-01T06:00:00Z,138.41000366210937,1.2932183040256446,NA,334.77099632272876,NA,NA,NA,334.47616410010073
Plainfield Lake,1905-08-01T06:00:00Z,138.41000366210937,1.2932183040256446,NA,334.8849993190298,NA,NA,NA,334.39394864601474
Pleasant Lake,1905-08-01T06:00:00Z,133.6999969482422,1.247714371008297,NA,298.8527568286988,NA,NA,NA,298.5523020981321
Long Lake,1905-09-01T06:00:00Z,72.94999694824219,1.3065104394919171,NA,334.7782482055223,NA,NA,NA,334.49187598842565
Plainfield Lake,1905-09-01T06:00:00Z,72.94999694824219,1.3065104394919171,NA,334.8901159892184,NA,NA,NA,334.32213009917047
Pleasant Lake,1905-09-01T06:00:00Z,68.88999938964844,1.2389003253323903,NA,298.85076695583257,NA,NA,NA,298.6049531288382
Long Lake,1905-10-01T06:00:00Z,66.12000274658203,1.2929042109977376,NA,334.770824960811,NA,NA,NA,334.4977620071783
Plainfield Lake,1905-10-01T06:00:00Z,66.12000274658203,1.2929042109977376,NA,334.8848784121645,NA,NA,NA,334.38900466757326
Pleasant Lake,1905-10-01T06:00:00Z,70.589996337890625,1.2473983035079368,NA,298.85268547280094,NA,NA,NA,298.55442549187825
Long Lake,1905-11-01T06:00:00Z,43.43000030517578,1.1574593172592342,NA,334.6969293481107,NA,NA,NA,334.5090816705502
Plainfield Lake,1905-11-01T06:00:00Z,43.43000030517578,1.1574593172592342,NA,334.8327402999895,NA,NA,NA,334.3657582779401
Pleasant Lake,1905-11-01T06:00:00Z,46.52000045776367,1.130054153896246,NA,298.82619367233804,NA,NA,NA,298.55110661560536
Long Lake,1905-12-01T06:00:00Z,32.189998626708984,0.9609695403007528,NA,334.58972905390306,NA,NA,NA,334.4913244148754
Plainfield Lake,1905-12-01T06:00:00Z,32.189998626708984,0.9609695403007528,NA,334.7571035908487,NA,NA,NA,334.40965345724476
Pleasant Lake,1905-12-01T06:00:00Z,33.08000183105469,0.9418600092460865,NA,298.78370666514724,NA,NA,NA,298.57462247834144
Long Lake,1906-01-01T06:00:00Z,46.400001525878906,0.8375089717770088,NA,334.52237181286154,NA,NA,NA,334.4459311674116
Plainfield Lake,1906-01-01T06:00:00Z,46.400001525878906,0.8375089717770088,NA,334.7095787208207,NA,NA,NA,334.3682635566044
Pleasant Lake,1906-01-01T06:00:00Z,51.709999084472656,0.8472128608587725,NA,298.7623389755116,NA,NA,NA,298.6147625608448
Long Lake,1906-02-01T06:00:00Z,16.600000381469727,0.5555265675164057,NA,334.36852871137285,NA,NA,NA,334.38521683647895
