lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs
Anvil Lake,1905-01-01,27.34000015258789,0.7161278925180025,NA,544.5092044870336,NA,NA,NA
Lake Huron,1905-01-01,24.459999084472656,0.09019864789637745,NA,330.45300300410867,NA,NA,NA
Long Lake,1905-01-01,24.479999542236328,0.1256695828082522,NA,334.1419237406915,NA,NA,NA
Plainfield Lake,1905-01-01,24.479999542236328,0.1256695828082522,NA,334.4376352774701,NA,NA,NA
Devils Lake,1905-01-01,22.850000381469727,-0.14552703497693664,NA,293.2487263840667,NA,NA,NA
Anvil Lake,1905-02-01,23.290000915527344,0.4389184325279556,NA,544.4181302939411,NA,NA,NA
Lake Huron,1905-02-01,28.329999923706055,-0.12001611818446428,NA,330.2292506528426,NA,NA,NA
Long Lake,1905-02-01,28.25,-0.08594898153256589,NA,334.0151287035122,NA,NA,NA
Plainfield Lake,1905-02-01,28.25,-0.08594898153256589,NA,334.35495131277224,NA,NA,NA
Devils Lake,1905-02-01,32.29999923706055,-0.3078775358707548,NA,293.14466633580577,NA,NA,NA
Anvil Lake,1905-03-01,36.540000915527344,0.2396948057454887,NA,544.3526775094119,NA,NA,NA
Lake Huron,1905-03-01,43.220001220703125,-0.2522038843131274,NA,330.0885501491087,NA,NA,NA
Long Lake,1905-03-01,42.79999923706055,-0.22128740939440983,NA,333.93403827061,NA,NA,NA
Plainfield Lake,1905-03-01,42.79999923706055,-0.22128740939440983,NA,334.3020716524908,NA,NA,NA
Devils Lake,1905-03-01,44.029998779296875,-0.4186857457151731,NA,293.0736427935276,NA,NA,NA
Anvil Lake,1905-04-01,28.610000610351562,-0.0021588634037310642,NA,544.273219081965,NA,NA,NA
Lake Huron,1905-04-01,31.670000076293945,-0.4421572422560803,NA,329.8863640169781,NA,NA,NA
Long Lake,1905-04-01,31.280000686645508,-0.414213023291036,NA,333.81844344809025,NA,NA,NA
Plainfield Lake,1905-04-01,31.280000686645508,-0.414213023291036,NA,334.22669142912315,NA,NA,NA
Devils Lake,1905-04-01,37.959999084472656,-0.5541299917523118,NA,292.986828557035,NA,NA,NA
Anvil Lake,1905-05-01,98.30000305175781,0.16364991442659169,NA,544.327693776476,NA,NA,NA
Lake Huron,1905-05-01,150.32000732421875,-0.009911181065693222,NA,330.34644621919426,NA,NA,NA
Long Lake,1905-05-01,151.58999633789062,0.024125373658332724,NA,334.0810817166724,NA,NA,NA
Plainfield Lake,1905-05-01,151.58999633789062,0.024125373658332724,NA,334.39795975169204,NA,NA,NA
Devils Lake,1905-05-01,166,-0.13032893268510257,NA,293.2584677476551,NA,NA,NA
Anvil Lake,1905-06-01,188.74000549316406,0.8529910035222648,NA,544.5541693933513,NA,NA,NA
